id,address,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
"3403-E-23rd-St,-Alva,-FL-33920","3403 E 23rd St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.683892,-81.583418,Land,,,,
"3203-E-20th-St,-Alva,-FL-33920","3203 E 20th St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.673087,-81.585913,Land,,,,
"2425-Jetridge-St,-Alva,-FL-33920","2425 Jetridge St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.679579,-81.594632,Land,,,,
"23191-Ave-D,-Alva,-FL-33920","23191 Ave D, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.704155,-81.579461,Land,,,,
"4239-E-29th-St,-Alva,-FL-33920","4239 E 29th St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.692647,-81.569071,Land,,,,
"2249-Joel-Blvd,-Alva,-FL-33920","2249 Joel Blvd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.682035,-81.598908,Land,,,,
"4249-E-26th-St,-Alva,-FL-33920","4249 E 26th St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.689848,-81.568285,Land,,,,
"18400-River-Estates-Ln,-Alva,-FL-33920","18400 River Estates Ln, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.732018,-81.681922,Land,,,,
"20911-Palm-Beach-Blvd,-Alva,-FL-33920","20911 Palm Beach Blvd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.709392,-81.616751,Land,,,,
"2181-Waylife-Ct,-Alva,-FL-33920","2181 Waylife Ct, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.713817,-81.621421,Land,,,,
"3901-Packinghouse-Rd,-Alva,-FL-33920","3901 Packinghouse Rd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.68797,-81.607746,Land,,,,
"2317-Hines-Ave,-Alva,-FL-33920","2317 Hines Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.686527,-81.567021,Land,,,,
"2631-Zeligro-Rd,-Alva,-FL-33920","2631 Zeligro Rd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.709454,-81.669093,Apartment,5.0,3.0,3927.0,2000.0
"2021-Polar-Ave,-Alva,-FL-33920","2021 Polar Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.675652,-81.592212,Land,,,,
"2023-Polar-Ave,-Alva,-FL-33920","2023 Polar Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.675887,-81.592217,Land,,,,
"2006-Monroe-Ave,-Alva,-FL-33920","2006 Monroe Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.674039,-81.577489,Land,,,,
"2120-Johns-Ave,-Alva,-FL-33920","2120 Johns Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.679636,-81.580457,Land,,,,
"18901-Bridge-Wood-Ct,-Alva,-FL-33920","18901 Bridge Wood Ct, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.738613,-81.691006,Land,,,,
"1643-Linwood-Ave,-Alva,-FL-33920","1643 Linwood Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.720739,-81.704344,Single Family,2.0,1.0,600.0,
"2114-Wellington-Ave,-Alva,-FL-33920","2114 Wellington Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.678746,-81.58186,Land,,,,
"2101-Robert-Ave,-Alva,-FL-33920","2101 Robert Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.676491,-81.596975,Land,,,,
"2906-E-21st-St,-Alva,-FL-33920","2906 E 21st St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.676194,-81.589606,Single Family,3.0,2.0,1546.0,2024.0
"3206-E-23rd-St,-Alva,-FL-33920","3206 E 23rd St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.683434,-81.585604,Land,,,,
"4207-E-31st-St,-Alva,-FL-33920","4207 E 31st St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.694271,-81.571747,Land,,,,
"3406-E-22nd-St,-Alva,-FL-33920","3406 E 22nd St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.679887,-81.583004,Land,,,,
"2311-Columbus-Ave,-Alva,-FL-33920","2311 Columbus Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.685248,-81.588673,Land,,,,
"2308-Roosevelt-Ave,-Alva,-FL-33920","2308 Roosevelt Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.684889,-81.593602,Land,,,,
"2320-Hamilton-Ave,-Alva,-FL-33920","2320 Hamilton Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.686675,-81.589331,Land,,,,
"2000-Scott-Ave,-Alva,-FL-33920","2000 Scott Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.673219,-81.575876,Land,,,,
"2016-Jackson-Ave,-Alva,-FL-33920","2016 Jackson Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.6751,-81.590617,Land,,,,
"2120-Hamilton-Ave,-Alva,-FL-33920","2120 Hamilton Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.67922,-81.589177,Land,,,,
"2100-Columbus-Ave,-Alva,-FL-33920","2100 Columbus Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.676627,-81.587725,Land,,,,
"4-Fig-St,-Alva,-FL-33920","4 Fig St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.717396,-81.598648,Manufactured,2.0,2.0,1424.0,1977.0
"18080-Elmwood-Dr,-Alva,-FL-33920","18080 Elmwood Dr, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.72645,-81.704365,Land,,,,
"4222-E-25th-St,-Alva,-FL-33920","4222 E 25th St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.68851,-81.57031,Land,,,,
"2305-Fitch-Ave,-Alva,-FL-33920","2305 Fitch Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.684787,-81.568436,Land,,,,
"2303-Fitch-Ave,-Alva,-FL-33920","2303 Fitch Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.684499,-81.568433,Land,,,,
"16411-Oakview-Cir,-Alva,-FL-33920","16411 Oakview Cir, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.723797,-81.68801,,,,,
"17850-N-Franklin-Lock-Rd,-Alva,-FL-33920","17850 N Franklin Lock Rd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.722907,-81.69085,,,,,
"18500-River-Estates-Ln,-Alva,-FL-33920","18500 River Estates Ln, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.733334,-81.681652,Land,,,,
"2316-Fitch-Ave,-Alva,-FL-33920","2316 Fitch Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.686527,-81.567658,Land,,,,
"2311-Wells-Ave,-Alva,-FL-33920","2311 Wells Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.685622,-81.572736,Land,,,,
"19501-Witts-End,-Alva,-FL-33920","19501 Witts End, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.699274,-81.632139,Land,,,,
"2002-Leroy-Ave,-Alva,-FL-33920","2002 Leroy Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.673458,-81.57891,Land,,,,
"3901-E-21st-St,-Alva,-FL-33920","3901 E 21st St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.676782,-81.57626,Land,,,,
"3302-E-21st-St,-Alva,-FL-33920","3302 E 21st St, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.676267,-81.584528,Land,,,,
"2305-Joel-Blvd,-Alva,-FL-33920","2305 Joel Blvd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.68372,-81.598977,Land,,,,
"2117-Jackson-Ave,-Alva,-FL-33920","2117 Jackson Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.678407,-81.591308,Land,,,,
"2118-Polar-Ave,-Alva,-FL-33920","2118 Polar Ave, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.678637,-81.591695,Land,,,,
"2361-Thompson-Rd,-Alva,-FL-33920","2361 Thompson Rd, Alva, FL 33920",Alva,FL,12,33920,Lee,071,26.710782,-81.619936,Single Family,4.0,2.0,1828.0,
